tokenizer_id,corpus_id,mask,tokenizer_fingerprint,corpus_sha,code_version,n_chars,n_mask,n_gold_words,n_tokens,n_tokens_accepted,b_tp,b_fp,b_fn,b_tn,w_tp,w_pred,w_gold,w_intact,crossing_tokens,f_midcodepoint,f_cluster_split,f_overlap_rejected,f_dropped_chars,f_prefix_space_trim,n_sents
baichuan-m2,alt_km,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,349503,177585,847912,581885,145377,142851,8765,52510,50013,293228,159142,10970,8765,266027,269303,0,0,0,5000
baichuan-m2,alt_km,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,369883,177585,847912,581885,163630,143952,9634,52667,63451,312582,178264,10970,9632,266027,269303,0,0,0,5000
baichuan-m2,alt_km,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,57adf94bc86a52a59e4151d41cf87c72-af9331ff81d8,c1-b1-a1,699986,694986,177585,847912,581885,163631,413254,9634,108467,10136,581885,178265,10970,9632,266027,269303,0,0,0,5000
baichuan-m2,hkcancor_d,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,1962,2445,3290,2683,1489,301,65,107,1423,2047,1811,2165,65,607,0,0,0,0,257
baichuan-m2,hkcancor_d,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,2601,2445,3290,2683,2120,306,68,107,2035,2683,2445,2165,68,607,0,0,0,0,257
baichuan-m2,hkcancor_d,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,f318a47addd2c515077cf9aec2e1f445-af9331ff81d8,c1-b1-a1,2858,2601,2445,3290,2683,2120,306,68,107,2035,2683,2445,2165,68,607,0,0,0,0,257
baichuan-m2,hkcancor_p,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,1962,2178,3290,2683,1267,523,44,128,1059,2047,1568,1706,44,607,0,0,0,0,257
baichuan-m2,hkcancor_p,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,2601,2178,3290,2683,1874,552,47,128,1619,2683,2178,1706,47,607,0,0,0,0,257
baichuan-m2,hkcancor_p,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,edbbd3fee436612fbcab80d64f4359d8-af9331ff81d8,c1-b1-a1,2858,2601,2178,3290,2683,1874,552,47,128,1619,2683,2178,1706,47,607,0,0,0,0,257
baichuan-m2,hkcancor_s,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,1962,2178,3290,2683,1267,523,44,128,1059,2047,1568,1706,44,607,0,0,0,0,257
baichuan-m2,hkcancor_s,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,2601,2178,3290,2683,1874,552,47,128,1619,2683,2178,1706,47,607,0,0,0,0,257
baichuan-m2,hkcancor_s,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,b8ddbfc684e40364d686881c7f75b390-af9331ff81d8,c1-b1-a1,2858,2601,2178,3290,2683,1874,552,47,128,1619,2683,2178,1706,47,607,0,0,0,0,257
baichuan-m2,khpos,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,24146,10778,62343,42109,8575,11977,608,2986,2625,21552,10183,627,608,20234,19804,0,0,0,1000
baichuan-m2,khpos,legal,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,24906,10778,62343,42109,9166,12139,611,2990,3167,22305,10777,627,611,20234,19804,0,0,0,1000
baichuan-m2,khpos,raw,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,db07f6e38fbdec98e108f08272cddb44-af9331ff81d8,c1-b1-a1,50072,49072,10778,62343,42109,9166,31943,612,7351,620,42109,10778,627,612,20234,19804,0,0,0,1000
baichuan-m2,osf_cwsa_zh,core,4c2d95cc59b689a24fb0e66043d118945d808cf0c2fc2b315d8ebfd0d7d524f1,40a6e2b75aed4185096260b399664383-af9331ff81d8,c1-b1-a1,10310,9313,5425,7779,7624,4157,2470,271,2415,2594,7127,4928,3502,270,155,0,0,0,0,500
